Year,State,CPI,Minimum_Wage_State,Minimum_Wage_Federal,Unemployment%_state,GDP_perCap,Inflation_rate,Federal_Interest_Rate,Unemployment_Rate_Federal,Real_GDP_%Change,LFPR,Poverty_Rate
1976,Alabama,56.9,2.2,2.2,6.6,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Alaska,56.9,2.8,2.2,7.1,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Arizona,56.9,2.2,2.2,10.2,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Arkansas,56.9,2.2,2.2,7.3,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,California,56.9,2.2,2.2,9.2,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Colorado,56.9,2.2,2.2,5.8,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Connecticut,56.9,2.21,2.2,9.8,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Delaware,56.9,2.2,2.2,8.0,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,District of Columbia,56.9,2.25,2.2,8.7,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Florida,56.9,2.2,2.2,9.7,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Georgia,56.9,2.2,2.2,8.4,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Hawaii,56.9,2.4,2.2,9.8,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Idaho,56.9,2.2,2.2,5.6,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Illinois,56.9,2.2,2.2,6.6,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Indiana,56.9,2.2,2.2,6.6,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Iowa,56.9,2.2,2.2,4.3,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Kansas,56.9,2.2,2.2,4.2,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Kentucky,56.9,2.2,2.2,5.6,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Louisiana,56.9,2.2,2.2,6.3,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Maine,56.9,2.3,2.2,8.7,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Maryland,56.9,2.2,2.2,6.4,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Massachusetts,56.9,2.2,2.2,10.5,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Michigan,56.9,2.2,2.2,9.9,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
